"node1","node2","homology"
"CREB1","CREBBP",0
"CREB1","PPARGC1A",0
"CREB1","SIK1",0
"CREB1","SIK2",0
"CREB1","CRTC2",0
"CREBBP","CRTC2",0
"CREBBP","PPARGC1A",0
"CREBBP","CREB1",0
"CRTC2","CREBBP",0
"CRTC2","YWHAE",0
"CRTC2","PPARGC1A",0
"CRTC2","SIK1",0
"CRTC2","SIK2",0
"CRTC2","YWHAZ",0
"CRTC2","YWHAB",0
"CRTC2","YWHAQ",0
"CRTC2","SIK3",0
"CRTC2","CREB1",0
"PPARGC1A","CREBBP",0
"PPARGC1A","CRTC2",0
"PPARGC1A","CREB1",0
"SIK1","YWHAE",0
"SIK1","CREB1",0
"SIK1","YWHAQ",0
"SIK1","YWHAB",0
"SIK1","YWHAZ",0
"SIK1","CRTC2",0
"SIK2","YWHAE",0
"SIK2","YWHAQ",0
"SIK2","CREB1",0
"SIK2","CRTC2",0
"SIK3","YWHAE",0
"SIK3","CRTC2",0
"SIK3","YWHAB",0
"SIK3","YWHAQ",0
"SIK3","YWHAZ",0
"YWHAB","YWHAE",1
"YWHAB","SIK1",0
"YWHAB","CRTC2",0
"YWHAB","SIK3",0
"YWHAB","YWHAQ",1
"YWHAB","YWHAZ",1
"YWHAE","SIK2",0
"YWHAE","SIK1",0
"YWHAE","SIK3",0
"YWHAE","CRTC2",0
"YWHAE","YWHAQ",1
"YWHAE","YWHAB",1
"YWHAE","YWHAZ",1
"YWHAQ","YWHAE",1
"YWHAQ","SIK1",0
"YWHAQ","SIK2",0
"YWHAQ","CRTC2",0
"YWHAQ","YWHAB",1
"YWHAQ","SIK3",0
"YWHAQ","YWHAZ",1
"YWHAZ","YWHAE",1
"YWHAZ","SIK1",0
"YWHAZ","CRTC2",0
"YWHAZ","YWHAB",1
"YWHAZ","SIK3",0
"YWHAZ","YWHAQ",1
